image_id,label,prediction_fold0,prediction_fold1,prediction_fold2,prediction_fold3
707255804.jpg,3,3.0,3.0,3.0,4.0
2914141395.jpg,4,0.0,4.0,2.0,4.0
2786560780.jpg,3,3.0,3.0,2.0,3.0
4070631340.jpg,3,3.0,3.0,3.0,3.0
631676303.jpg,3,3.0,2.0,4.0,3.0
924049818.jpg,3,3.0,4.0,3.0,1.0
2805684148.jpg,4,4.0,3.0,0.0,3.0
1821532934.jpg,1,1.0,2.0,3.0,4.0
2362358956.jpg,3,3.0,3.0,4.0,3.0
604476990.jpg,3,3.0,3.0,3.0,3.0
1598194958.jpg,3,3.0,3.0,4.0,3.0
4251271803.jpg,4,4.0,3.0,3.0,3.0
4133546667.jpg,2,2.0,3.0,1.0,3.0
3718766738.jpg,3,3.0,3.0,3.0,3.0
3785431429.jpg,3,3.0,3.0,3.0,3.0
597269294.jpg,3,3.0,3.0,3.0,3.0
2279465716.jpg,2,3.0,2.0,0.0,3.0
3300973155.jpg,3,3.0,3.0,1.0,3.0
1240563843.jpg,3,3.0,3.0,3.0,3.0
2586811772.jpg,3,3.0,3.0,3.0,3.0
1433585468.jpg,3,3.0,3.0,3.0,1.0
3126296051.jpg,1,0.0,3.0,3.0,2.0
1940940893.jpg,3,3.0,1.0,1.0,1.0
3676238683.jpg,1,1.0,2.0,4.0,3.0
2384352551.jpg,4,4.0,3.0,3.0,0.0
362695786.jpg,2,2.0,3.0,3.0,3.0
1281067697.jpg,3,3.0,3.0,3.0,1.0
2704844325.jpg,4,4.0,3.0,3.0,3.0
1610632486.jpg,3,3.0,3.0,2.0,1.0
3398915024.jpg,3,3.0,3.0,3.0,3.0
738553844.jpg,3,3.0,1.0,3.0,3.0
3084094709.jpg,3,3.0,3.0,3.0,1.0
3240792628.jpg,3,3.0,3.0,3.0,3.0
3821677855.jpg,1,1.0,0.0,3.0,1.0
1292034909.jpg,4,4.0,3.0,3.0,1.0
4173578063.jpg,3,3.0,3.0,3.0,2.0
254280460.jpg,3,3.0,3.0,3.0,3.0
2050190340.jpg,3,3.0,3.0,1.0,2.0
967883712.jpg,3,3.0,0.0,3.0,1.0
2977168485.jpg,2,2.0,3.0,3.0,3.0
599325048.jpg,0,0.0,3.0,3.0,3.0
65671451.jpg,2,2.0,4.0,3.0,3.0
3443596857.jpg,3,3.0,1.0,3.0,3.0
3590341908.jpg,3,4.0,3.0,2.0,3.0
2090702902.jpg,4,4.0,4.0,3.0,3.0
792105357.jpg,3,3.0,0.0,3.0,3.0
1795274640.jpg,3,3.0,3.0,3.0,2.0
2815296701.jpg,4,4.0,4.0,3.0,3.0
419974195.jpg,3,3.0,3.0,3.0,3.0
3633631625.jpg,4,4.0,3.0,2.0,3.0
3240471476.jpg,4,4.0,3.0,1.0,4.0
41327518.jpg,3,3.0,3.0,3.0,2.0
171434140.jpg,3,3.0,4.0,2.0,3.0
3370597486.jpg,4,3.0,0.0,3.0,2.0
2983830211.jpg,3,3.0,4.0,2.0,3.0
491673903.jpg,2,4.0,1.0,2.0,3.0
3382468735.jpg,3,3.0,3.0,4.0,2.0
2016905138.jpg,3,3.0,3.0,3.0,4.0
1544151022.jpg,3,3.0,3.0,3.0,3.0
3115344482.jpg,0,0.0,3.0,3.0,4.0
2849544305.jpg,3,3.0,3.0,3.0,0.0
73287115.jpg,3,3.0,1.0,3.0,3.0
1994659903.jpg,4,4.0,3.0,4.0,3.0
3435646093.jpg,2,2.0,1.0,3.0,3.0
2588915537.jpg,3,3.0,3.0,3.0,3.0
3339923406.jpg,4,4.0,1.0,2.0,3.0
2092518082.jpg,3,3.0,2.0,3.0,3.0
365488535.jpg,1,0.0,3.0,2.0,3.0
3449080403.jpg,3,3.0,4.0,3.0,3.0
1752693374.jpg,0,0.0,4.0,2.0,3.0
1454219565.jpg,2,2.0,3.0,2.0,3.0
2545092425.jpg,3,3.0,3.0,4.0,3.0
3286430972.jpg,3,3.0,3.0,3.0,4.0
3345615928.jpg,4,4.0,2.0,3.0,3.0
2349165022.jpg,3,3.0,3.0,3.0,3.0
2148261179.jpg,3,3.0,3.0,2.0,3.0
3362743829.jpg,4,4.0,2.0,0.0,3.0
699330995.jpg,3,3.0,3.0,3.0,3.0
1960345472.jpg,0,0.0,3.0,1.0,2.0
2879937455.jpg,4,4.0,3.0,3.0,4.0
1553664273.jpg,3,3.0,3.0,4.0,3.0
3907844004.jpg,3,3.0,3.0,0.0,3.0
2837141717.jpg,3,3.0,3.0,1.0,3.0
2909347864.jpg,3,3.0,3.0,3.0,3.0
1712458333.jpg,2,3.0,3.0,3.0,3.0
556542792.jpg,3,3.0,2.0,3.0,3.0
2706759956.jpg,2,2.0,4.0,2.0,3.0
410264599.jpg,3,3.0,3.0,3.0,3.0
1314553246.jpg,3,3.0,1.0,1.0,1.0
2333536768.jpg,3,3.0,3.0,3.0,3.0
3938379090.jpg,1,1.0,4.0,1.0,3.0
2572884374.jpg,3,3.0,0.0,3.0,2.0
471570254.jpg,3,3.0,4.0,4.0,3.0
1229830686.jpg,3,3.0,0.0,3.0,1.0
3709699332.jpg,3,3.0,3.0,2.0,3.0
2174889455.jpg,1,1.0,3.0,2.0,3.0
1938814824.jpg,3,3.0,3.0,1.0,3.0
1262742218.jpg,3,3.0,3.0,3.0,3.0
2013004933.jpg,3,3.0,3.0,4.0,3.0
2719462467.jpg,3,3.0,3.0,2.0,3.0
2378730150.jpg,3,3.0,3.0,3.0,0.0
1787178614.jpg,3,3.0,2.0,1.0,4.0
3942046671.jpg,3,3.0,3.0,4.0,3.0
3474356023.jpg,2,4.0,2.0,3.0,3.0
38680980.jpg,3,3.0,3.0,0.0,3.0
1290024042.jpg,2,2.0,3.0,3.0,4.0
1527880193.jpg,3,3.0,1.0,4.0,3.0
923034542.jpg,3,3.0,3.0,1.0,3.0
2381360822.jpg,3,3.0,3.0,3.0,2.0
2190685942.jpg,3,2.0,2.0,3.0,3.0
3486801022.jpg,3,3.0,3.0,3.0,3.0
1824113054.jpg,3,3.0,3.0,3.0,3.0
285510600.jpg,4,1.0,3.0,1.0,3.0
3308263183.jpg,3,3.0,0.0,3.0,3.0
1957897144.jpg,4,4.0,3.0,3.0,3.0
3706939010.jpg,1,1.0,3.0,4.0,3.0
3177646641.jpg,3,3.0,3.0,3.0,0.0
1963744346.jpg,3,0.0,3.0,1.0,3.0
2061601006.jpg,4,0.0,3.0,3.0,3.0
1671607794.jpg,3,3.0,2.0,1.0,0.0
3410174460.jpg,1,0.0,3.0,2.0,3.0
54600142.jpg,3,3.0,3.0,3.0,3.0
1267796913.jpg,4,4.0,0.0,4.0,3.0
3376933694.jpg,3,3.0,3.0,3.0,3.0
1249858364.jpg,3,3.0,3.0,3.0,3.0
3169385678.jpg,4,4.0,3.0,1.0,3.0
1001742395.jpg,3,3.0,2.0,3.0,2.0
3230471724.jpg,2,2.0,3.0,2.0,3.0
901886086.jpg,3,3.0,3.0,1.0,3.0
882292084.jpg,3,3.0,3.0,3.0,3.0
1057519931.jpg,3,3.0,0.0,3.0,3.0
160835156.jpg,3,3.0,2.0,3.0,1.0
1850235748.jpg,3,3.0,3.0,3.0,3.0
2999350296.jpg,0,0.0,0.0,2.0,3.0
3577187521.jpg,4,4.0,2.0,4.0,3.0
616531930.jpg,3,3.0,3.0,0.0,3.0
431233168.jpg,3,3.0,3.0,3.0,2.0
3310109012.jpg,1,1.0,2.0,4.0,3.0
1735838200.jpg,4,1.0,3.0,3.0,3.0
2271707929.jpg,3,3.0,1.0,0.0,1.0
3798090445.jpg,4,0.0,4.0,3.0,3.0
1424184391.jpg,3,3.0,2.0,3.0,2.0
891797832.jpg,3,3.0,3.0,3.0,3.0
2006554729.jpg,2,2.0,3.0,0.0,3.0
2082399272.jpg,3,3.0,3.0,3.0,3.0
2860256595.jpg,2,2.0,1.0,3.0,3.0
1269528724.jpg,3,3.0,0.0,1.0,1.0
107443287.jpg,3,3.0,2.0,3.0,3.0
4100445719.jpg,4,4.0,0.0,0.0,3.0
3208777969.jpg,3,3.0,2.0,3.0,3.0
1027550629.jpg,3,3.0,3.0,1.0,2.0
227921485.jpg,4,4.0,1.0,3.0,3.0
446451403.jpg,3,3.0,3.0,1.0,3.0
837521873.jpg,2,2.0,3.0,3.0,3.0
3019705895.jpg,3,3.0,4.0,3.0,1.0
1688388949.jpg,3,3.0,1.0,3.0,3.0
1482454106.jpg,3,3.0,3.0,3.0,2.0
3313281323.jpg,3,3.0,0.0,3.0,2.0
808416790.jpg,0,0.0,4.0,2.0,3.0
1540424279.jpg,3,3.0,0.0,3.0,3.0
370269140.jpg,0,0.0,3.0,3.0,3.0
125037460.jpg,3,3.0,4.0,4.0,2.0
1416607824.jpg,3,3.0,3.0,2.0,3.0
4121566836.jpg,2,0.0,3.0,3.0,4.0
1865866480.jpg,3,3.0,2.0,3.0,3.0
1033403106.jpg,0,0.0,3.0,3.0,3.0
1403492344.jpg,1,1.0,4.0,3.0,3.0
838294593.jpg,4,4.0,3.0,3.0,3.0
3767372651.jpg,4,4.0,3.0,3.0,0.0
2095589836.jpg,4,0.0,0.0,3.0,4.0
444631842.jpg,3,3.0,2.0,3.0,3.0
529641068.jpg,2,3.0,4.0,3.0,3.0
2787596075.jpg,4,4.0,3.0,3.0,3.0
1761634229.jpg,3,3.0,3.0,0.0,2.0
3412389628.jpg,2,2.0,3.0,3.0,3.0
1146674028.jpg,3,3.0,3.0,0.0,3.0
1519602849.jpg,3,3.0,3.0,4.0,3.0
3170246612.jpg,4,3.0,3.0,3.0,2.0
4153984677.jpg,1,0.0,3.0,3.0,3.0
1408964751.jpg,1,3.0,3.0,3.0,2.0
2857852888.jpg,4,3.0,4.0,0.0,4.0
1951627890.jpg,3,3.0,3.0,3.0,3.0
1220118716.jpg,3,3.0,3.0,0.0,2.0
3740210587.jpg,3,3.0,2.0,3.0,3.0
3217518680.jpg,3,3.0,3.0,3.0,3.0
3673489781.jpg,3,3.0,1.0,3.0,3.0
4025505972.jpg,3,3.0,3.0,3.0,0.0
2123430239.jpg,3,3.0,3.0,3.0,0.0
1493725119.jpg,3,3.0,0.0,3.0,1.0
265078969.jpg,3,3.0,1.0,3.0,3.0
2940017595.jpg,3,3.0,4.0,3.0,3.0
1200666322.jpg,0,0.0,3.0,3.0,3.0
3164685784.jpg,3,3.0,3.0,4.0,0.0
3191863856.jpg,3,3.0,2.0,2.0,0.0
2779467880.jpg,2,2.0,4.0,3.0,3.0
2434447915.jpg,3,3.0,3.0,3.0,4.0
5666225.jpg,3,3.0,2.0,3.0,1.0
4170892667.jpg,2,2.0,3.0,0.0,3.0
2146047355.jpg,3,3.0,3.0,3.0,3.0
1425848299.jpg,2,2.0,4.0,2.0,3.0
3795991953.jpg,3,3.0,4.0,4.0,2.0
1399640317.jpg,3,3.0,3.0,4.0,3.0
822444900.jpg,3,3.0,3.0,3.0,1.0
2333905291.jpg,1,1.0,1.0,3.0,3.0
2512300453.jpg,3,3.0,3.0,3.0,3.0
2704843914.jpg,3,3.0,4.0,3.0,3.0
1557560086.jpg,3,3.0,4.0,3.0,0.0
581179733.jpg,3,3.0,3.0,0.0,2.0
833499440.jpg,3,3.0,1.0,3.0,1.0
3985539982.jpg,4,0.0,3.0,3.0,2.0
1325693886.jpg,3,3.0,1.0,3.0,3.0
3919110751.jpg,0,0.0,0.0,2.0,3.0
1874987001.jpg,3,3.0,1.0,4.0,1.0
1492381879.jpg,3,3.0,3.0,3.0,1.0
3435885572.jpg,0,0.0,4.0,3.0,3.0
3135277056.jpg,3,3.0,3.0,3.0,3.0
1584599134.jpg,3,3.0,3.0,3.0,3.0
3296434764.jpg,3,3.0,3.0,1.0,4.0
1040828572.jpg,3,3.0,4.0,1.0,2.0
4231979613.jpg,3,3.0,3.0,2.0,3.0
3324645534.jpg,4,2.0,2.0,4.0,4.0
846591139.jpg,4,4.0,1.0,3.0,3.0
112646666.jpg,3,3.0,1.0,3.0,1.0
2596539007.jpg,3,3.0,1.0,4.0,0.0
1009441020.jpg,3,3.0,3.0,3.0,2.0
2580526345.jpg,3,3.0,2.0,2.0,3.0
2441927798.jpg,4,0.0,3.0,2.0,0.0
719731461.jpg,3,3.0,3.0,1.0,3.0
3722009865.jpg,2,2.0,1.0,3.0,3.0
3421593064.jpg,1,1.0,3.0,3.0,3.0
2594282701.jpg,2,2.0,3.0,3.0,2.0
3507965498.jpg,3,3.0,3.0,2.0,1.0
2753076252.jpg,0,4.0,3.0,3.0,4.0
2428265097.jpg,3,3.0,3.0,3.0,3.0
2467729031.jpg,1,1.0,2.0,3.0,3.0
3606660804.jpg,3,3.0,4.0,3.0,3.0
435952255.jpg,3,3.0,3.0,3.0,0.0
646841236.jpg,4,4.0,3.0,3.0,3.0
1588493450.jpg,3,3.0,4.0,3.0,3.0
4128762392.jpg,1,0.0,3.0,3.0,1.0
631967336.jpg,3,3.0,3.0,1.0,3.0
1901223927.jpg,3,3.0,1.0,3.0,1.0
309509723.jpg,3,3.0,0.0,1.0,3.0
1969050726.jpg,3,3.0,3.0,3.0,3.0
4278878757.jpg,0,3.0,3.0,4.0,1.0
1511926966.jpg,3,3.0,3.0,3.0,3.0
4249429876.jpg,3,3.0,2.0,3.0,3.0
3609926287.jpg,3,3.0,3.0,3.0,3.0
1738486580.jpg,3,3.0,3.0,3.0,4.0
2636545595.jpg,2,2.0,4.0,3.0,2.0
280102380.jpg,3,3.0,3.0,3.0,3.0
2945964157.jpg,0,0.0,1.0,1.0,1.0
3887630301.jpg,1,1.0,3.0,3.0,3.0
1218546888.jpg,3,3.0,3.0,4.0,3.0
3516286553.jpg,3,3.0,3.0,2.0,1.0
1146671365.jpg,1,4.0,2.0,4.0,3.0
3086931192.jpg,3,3.0,1.0,1.0,3.0
3660919522.jpg,3,3.0,1.0,4.0,3.0
3579904762.jpg,0,2.0,1.0,2.0,2.0
560477016.jpg,3,3.0,3.0,0.0,0.0
342227867.jpg,3,3.0,2.0,1.0,3.0
2385423168.jpg,2,2.0,2.0,3.0,4.0
3814011127.jpg,3,3.0,3.0,3.0,3.0
348185554.jpg,3,3.0,2.0,4.0,2.0
3111934110.jpg,3,3.0,1.0,1.0,0.0
2215510200.jpg,3,3.0,1.0,3.0,3.0
2027324099.jpg,3,2.0,3.0,3.0,0.0
63578884.jpg,3,3.0,3.0,3.0,2.0
2807443000.jpg,3,3.0,3.0,3.0,3.0
3546224869.jpg,2,2.0,3.0,4.0,3.0
1029778366.jpg,3,3.0,1.0,3.0,1.0
180953127.jpg,3,3.0,3.0,3.0,2.0
889052134.jpg,3,3.0,4.0,4.0,3.0
1200660912.jpg,1,3.0,3.0,3.0,3.0
4169577123.jpg,3,3.0,3.0,4.0,3.0
2512237524.jpg,1,1.0,0.0,3.0,3.0
1277057359.jpg,4,4.0,2.0,0.0,1.0
2685278721.jpg,3,3.0,3.0,3.0,3.0
2062577716.jpg,3,3.0,3.0,3.0,3.0
3330987820.jpg,3,3.0,3.0,3.0,3.0
3574308503.jpg,4,4.0,3.0,3.0,3.0
172123475.jpg,3,3.0,3.0,3.0,3.0
1936471252.jpg,3,3.0,1.0,4.0,2.0
1969270538.jpg,2,2.0,4.0,2.0,2.0
391446086.jpg,3,3.0,1.0,3.0,2.0
846277174.jpg,4,4.0,0.0,2.0,1.0
1887611865.jpg,4,0.0,3.0,4.0,3.0
1994247876.jpg,1,1.0,3.0,3.0,2.0
2359898935.jpg,4,4.0,2.0,3.0,3.0
977735708.jpg,3,3.0,3.0,3.0,4.0
3023321786.jpg,0,0.0,3.0,4.0,3.0
3212523761.jpg,3,3.0,0.0,3.0,3.0
571732176.jpg,3,3.0,3.0,3.0,3.0
751472775.jpg,0,0.0,3.0,1.0,3.0
3926325186.jpg,3,3.0,3.0,3.0,1.0
3122760139.jpg,4,4.0,4.0,3.0,4.0
9255514.jpg,3,3.0,3.0,3.0,4.0
1160018036.jpg,1,1.0,1.0,3.0,1.0
3166562991.jpg,3,3.0,4.0,0.0,3.0
3583911271.jpg,3,3.0,0.0,4.0,1.0
307490334.jpg,3,3.0,3.0,4.0,3.0
3221163634.jpg,3,3.0,3.0,3.0,3.0
402211676.jpg,3,3.0,3.0,4.0,1.0
750376884.jpg,3,3.0,3.0,0.0,1.0
335373931.jpg,3,3.0,3.0,3.0,3.0
2142685227.jpg,4,0.0,3.0,3.0,3.0
4083726805.jpg,3,3.0,3.0,3.0,3.0
1852547447.jpg,3,3.0,3.0,3.0,3.0
84787134.jpg,1,1.0,1.0,0.0,3.0
2587436758.jpg,3,3.0,0.0,3.0,3.0
1105907243.jpg,1,1.0,3.0,2.0,3.0
1524851298.jpg,3,3.0,3.0,3.0,3.0
1230241829.jpg,3,3.0,3.0,0.0,1.0
743721638.jpg,3,3.0,3.0,3.0,3.0
2125659201.jpg,1,1.0,4.0,3.0,3.0
1268829750.jpg,3,3.0,3.0,0.0,3.0
2235405530.jpg,2,2.0,3.0,3.0,1.0
3738618109.jpg,4,4.0,1.0,3.0,0.0
3903622847.jpg,4,4.0,3.0,2.0,3.0
3708168447.jpg,3,3.0,2.0,3.0,3.0
2655690235.jpg,4,4.0,1.0,3.0,3.0
4049843068.jpg,4,4.0,4.0,3.0,3.0
3422450809.jpg,2,2.0,1.0,3.0,3.0
3418761424.jpg,3,3.0,3.0,3.0,3.0
2256700113.jpg,3,3.0,3.0,1.0,3.0
2137007247.jpg,3,3.0,1.0,3.0,4.0
4293817306.jpg,2,4.0,4.0,3.0,3.0
3101160997.jpg,3,3.0,2.0,3.0,1.0
4271000778.jpg,3,3.0,3.0,1.0,3.0
1284380240.jpg,3,3.0,3.0,4.0,3.0
4172276292.jpg,3,3.0,3.0,3.0,2.0
3846690495.jpg,3,3.0,4.0,3.0,3.0
1015034348.jpg,3,3.0,1.0,4.0,2.0
396060343.jpg,1,1.0,2.0,3.0,1.0
1574353431.jpg,4,0.0,0.0,4.0,3.0
2665396670.jpg,3,3.0,3.0,2.0,3.0
2130791173.jpg,3,3.0,3.0,3.0,3.0
2055994639.jpg,3,3.0,3.0,0.0,2.0
1338751464.jpg,3,3.0,3.0,0.0,3.0
378216737.jpg,3,3.0,3.0,3.0,3.0
3512092684.jpg,4,4.0,3.0,3.0,3.0
3555472303.jpg,3,3.0,3.0,2.0,3.0
2345003518.jpg,1,3.0,3.0,3.0,4.0
2319781928.jpg,2,2.0,2.0,3.0,1.0
1488901749.jpg,4,4.0,3.0,1.0,3.0
1650399375.jpg,3,3.0,2.0,3.0,3.0
2252885950.jpg,3,3.0,4.0,3.0,3.0
3257227990.jpg,0,1.0,3.0,3.0,3.0
4284674042.jpg,0,4.0,3.0,4.0,3.0
